age,friv
484.0,30000000000.0
483.999,30000000000.0
483.998,30000000000.0
483.997,30000000000.0
483.996,29999081432.452522
483.995,29998162943.44779
483.994,29997244532.99041
483.993,29996326201.085003
483.992,29995407810.792896
483.991,29994489362.12203
483.99,29993570855.08034
483.989,29992652293.09615
483.988,29991733679.577343
483.987,29990815017.897575
483.986,29989896311.3963
483.985,29988977563.38011
483.984,29988058777.123066
483.983,29987139955.86705
483.982,29986221102.822067
483.981,29985302221.166553
483.98,29984383314.047657
483.979,29983464384.581596
483.978,29982545435.85392
483.977,29981626470.91979
483.976,29980707492.804325
483.975,29979788504.502853
483.974,29978869508.981216
483.973,29977950509.176044
483.972,29977031507.995052
483.971,29976112508.317303
483.97,29975193512.99351
483.969,29974274524.846287
483.968,29973355546.67043
483.967,29972436581.233192
483.966,29971517631.274544
483.965,29970598699.507435
483.964,29969679788.618057
483.963,29968760901.26612
483.962,29967842040.08508
483.961,29966923207.68241
483.96,29966004406.639866
483.959,29965085639.513683
483.958,29964166908.8349
483.957,29963248217.10954
483.956,29962329566.81887
483.955,29961410960.419666
483.954,29960492400.344414
483.953,29959573889.00156
483.952,29958655428.77577
483.951,29957737022.028095
483.95,29956818671.096268
483.949,29955900378.294888
483.948,29954982145.915672
483.947,29954063976.22764
483.946,29953145871.477367
483.945,29952227833.8892
483.944,29951309865.665447
483.943,29950391968.98662
483.942,29949474146.011616
483.941,29948556398.877968
483.94,29947638729.70201
483.939,29946721140.579098
483.938,29945803633.583817
483.937,29944886210.770187
483.936,29943968874.171852
483.935,29943051625.802277
483.934,29942134467.65494
483.933,29941217401.703556
483.932,29940300429.902214
483.931,29939383554.185627
483.93,29938466776.46927
483.929,29937550098.649593
483.928,29936633522.604202
483.927,29935717050.19204
483.926,29934800683.25355
483.925,29933884423.6109
483.924,29932968273.068108
483.923,29932052233.411236
483.922,29931136306.40859
483.921,29930220493.81086
483.92,29929304797.351288
483.919,29928389218.74587
483.918,29927473759.693497
483.917,29926558421.876118
483.916,29925643206.95891
483.915,29924728116.59047
483.914,29923813152.402916
483.913,29922898316.012096
483.912,29921983609.017723
483.911,29921069033.003548
483.91,29920154589.537483
483.909,29919240280.1718
483.908,29918326106.44323
483.907,29917412069.87317
483.906,29916498171.967777
483.905,29915584414.21816
483.904,29914670798.100487
483.903,29913757325.07617
483.902,29912843996.591988
483.901,29911930814.0802
483.9,29911017778.95874
483.899,29910104892.63132
483.898,29909192156.48758
483.897,29908279571.90323
483.896,29907367140.240147
483.895,29906454862.846573
483.894,29905542741.057194
483.893,29904630776.19329
483.892,29903718969.562874
483.891,29902807322.460804
483.89,29901895836.168907
483.889,29900984511.95614
483.888,29900073351.078667
483.887,29899162354.780025
483.886,29898251524.291203
483.885,29897340860.830826
483.884,29896430365.605198
483.883,29895520039.80848
483.882,29894609884.622776
483.881,29893699901.21828
483.88,29892790090.753353
483.879,29891880454.374672
483.878,29890970993.217316
483.877,29890061708.4049
483.876,29889152601.049675
483.875,29888243672.25264
483.874,29887334923.10364
483.873,29886426354.6815
483.872,29885517968.054108
483.871,29884609764.278538
483.87,29883701744.40113
483.869,29882793909.45763
483.868,29881886260.47325
483.867,29880978798.462822
483.866,29880071524.430843
483.865,29879164439.37161
483.864,29878257544.26931
483.863,29877350840.09813
483.862,29876444327.822315
483.861,29875538008.39632
483.86,29874631882.76486
483.859,29873725951.863018
483.858,29872820216.616356
483.857,29871914677.94097
483.856,29871009336.74362
483.855,29870104193.921803
483.854,29869199250.36383
483.853,29868294506.94895
483.852,29867389964.547398
483.851,29866485624.020508
483.85,29865581486.220783
483.849,29864677551.992004
483.848,29863773822.169292
483.847,29862870297.57921
483.846,29861966979.0398
483.845,29861063867.36075
483.844,29860160963.34339
483.843,29859258267.78083
483.842,29858355781.458
483.841,29857453505.15178
483.84,29856551439.63099
483.839,29855649585.656578
483.838,29854747943.981617
483.837,29853846515.351414
483.836,29852945300.50356
483.835,29852044300.16805
483.834,29851143515.06731
483.833,29850242945.91629
483.832,29849342593.422543
483.831,29848442458.28627
483.83,29847542541.20045
483.829,29846642842.850826
483.828,29845743363.91605
483.827,29844844105.0677
483.826,29843945066.970383
483.825,29843046250.281784
483.824,29842147655.652737
483.823,29841249283.727295
483.822,29840351135.14279
483.821,29839453210.529915
483.82,29838555510.512745
483.819,29837658035.708855
483.818,29836760786.72936
483.817,29835863764.178947
483.816,29834966968.65601
483.815,29834070400.752625
483.814,29833174061.05468
483.813,29832277950.141907
483.812,29831382068.58793
483.811,29830486416.96034
483.81,29829590995.82075
483.809,29828695805.72487
483.808,29827800847.222527
483.807,29826906120.857758
483.806,29826011627.16883
483.805,29825117366.688343
483.804,29824223339.94324
483.803,29823329547.454887
483.802,29822435989.739117
483.801,29821542667.306282
483.8,29820649580.661327
483.799,29819756730.303806
483.798,29818864116.727974
483.797,29817971740.42281
483.796,29817079601.87207
483.795,29816187701.554356
483.794,29815296039.943146
483.793,29814404617.506863
483.792,29813513434.708893
483.791,29812622492.00767
483.79,29811731789.856712
483.789,29810841328.704647
483.788,29809951108.995296
483.787,29809061131.16768
483.786,29808171395.656113
483.785,29807281902.890198
483.784,29806392653.294907
483.783,29805503647.290627
483.782,29804614885.29318
483.781,29803726367.713882
483.78,29802838094.959587
483.779,29801950067.432728
483.778,29801062285.531357
483.777,29800174749.649197
483.776,29799287460.175674
483.775,29798400417.495964
483.774,29797513621.991028
483.773,29796627074.037663
483.772,29795740774.008526
483.771,29794854722.272198
483.77,29793968919.193203
483.769,29793083365.132053
483.768,29792198060.445286
483.767,29791313005.485523
483.766,29790428200.601467
483.765,29789543646.137978
483.764,29788659342.43609
483.763,29787775289.83306
483.762,29786891488.662388
483.761,29786007939.253876
483.76,29785124641.933636
483.759,29784241597.024162
483.758,29783358804.84433
483.757,29782476265.70945
483.756,29781593979.931293
483.755,29780711947.81815
483.754,29779830169.674824
483.753,29778948645.80269
483.752,29778067376.499737
483.751,29777186362.06057
483.75,29776305602.776474
483.749,29775425098.935432
